gid,f_code,f_level,ocean,f_area,f_subarea,f_division,f_subdivis,f_subunit,sfp_identifier,name_en,name_es
168,27.8.d,DIVISION,Atlantic,27,27.8,27.8.d,,,FAO 27.8.d,Bay of Biscay - Offshore (Division 27.8.d),Golfo de Vizcaya - alta mar (División 27.8.d)
169,21.3.N,DIVISION,Atlantic,21,21.3,21.3.N,,,FAO 21.3.N,"Atlantic, Northwest / 21.3.N",Atl NW / 21.3.N
170,21.4.V,DIVISION,Atlantic,21,21.4,21.4.V,,,FAO 21.4.V,"Atlantic, Northwest / 21.4.V",Atl NW / 21.4.V
232,34.1.32,SUBDIVISION,Atlantic,34,34.1,34.1.3,34.1.32,,FAO 34.1.32,"Atlantic, East central / 34.1.32",Atl EC / 34.1.32
171,21.5.Z,DIVISION,Atlantic,21,21.5,21.5.Z,,,FAO 21.5.Z,"Atlantic, Northwest / 21.5.Z",Atl NW / 21.5.Z
233,34.3.11,SUBDIVISION,Atlantic,34,34.3,34.3.1,34.3.11,,FAO 34.3.11,"Atlantic, East central / 34.3.11",Atl EC / 34.3.11
172,21.6.B,DIVISION,Atlantic,21,21.6,21.6.B,,,FAO 21.6.B,"Atlantic, Northwest / 21.6.B",Atl NW / 21.6.B
174,21.6.E,DIVISION,Atlantic,21,21.6,21.6.E,,,FAO 21.6.E,"Atlantic, Northwest / 21.6.E",Atl NW / 21.6.E
175,21.6.F,DIVISION,Atlantic,21,21.6,21.6.F,,,FAO 21.6.F,"Atlantic, Northwest / 21.6.F",Atl NW / 21.6.F
176,21.6.G,DIVISION,Atlantic,21,21.6,21.6.G,,,FAO 21.6.G,"Atlantic, Northwest / 21.6.G",Atl NW / 21.6.G
187,21.6.A,DIVISION,Atlantic,21,21.6,21.6.A,,,FAO 21.6.A,"Atlantic, Northwest / 21.6.A",Atl NW / 21.6.A
177,21.6.H,DIVISION,Atlantic,21,21.6,21.6.H,,,FAO 21.6.H,"Atlantic, Northwest / 21.6.H",Atl NW / 21.6.H
178,21.0.A,DIVISION,Atlantic,21,21.0,21.0.A,,,FAO 21.0.A,"Atlantic, Northwest / 21.0.A",Atl NW / 21.0.A
179,21.1.A,DIVISION,Atlantic,21,21.1,21.1.A,,,FAO 21.1.A,"Atlantic, Northwest / 21.1.A",Atl NW / 21.1.A
180,21.1.B,DIVISION,Atlantic,21,21.1,21.1.B,,,FAO 21.1.B,"Atlantic, Northwest / 21.1.B",Atl NW / 21.1.B
181,21.0.B,DIVISION,Atlantic,21,21.0,21.0.B,,,FAO 21.0.B,"Atlantic, Northwest / 21.0.B",Atl NW / 21.0.B
182,21.1.C,DIVISION,Atlantic,21,21.1,21.1.C,,,FAO 21.1.C,"Atlantic, Northwest / 21.1.C",Atl NW / 21.1.C
197,47.C.1,DIVISION,Atlantic,47,47.C,47.C.1,,,FAO 47.C.1,SEAFO division C.1,División SEAFO C.1
198,47.B.0,DIVISION,Atlantic,47,47.B,47.B.0,,,FAO 47.B.0,SEAFO division B.0,División SEAFO B.0
183,21.4.W,DIVISION,Atlantic,21,21.4,21.4.W,,,FAO 21.4.W,"Atlantic, Northwest / 21.4.W",Atl NW / 21.4.W
199,27.8.a,DIVISION,Atlantic,27,27.8,27.8.a,,,FAO 27.8.a,Bay of Biscay - North (Division 27.8.a),Golfo de Vizcaya - norte (División 27.8.a)
184,21.4.S,DIVISION,Atlantic,21,21.4,21.4.S,,,FAO 21.4.S,"Atlantic, Northwest / 21.4.S",Atl NW / 21.4.S
185,21.3.K,DIVISION,Atlantic,21,21.3,21.3.K,,,FAO 21.3.K,"Atlantic, Northwest / 21.3.K",Atl NW / 21.3.K
186,21.2.J,DIVISION,Atlantic,21,21.2,21.2.J,,,FAO 21.2.J,"Atlantic, Northwest / 21.2.J",Atl NW / 21.2.J
188,21.6.C,DIVISION,Atlantic,21,21.6,21.6.C,,,FAO 21.6.C,"Atlantic, Northwest / 21.6.C",Atl NW / 21.6.C
200,27.7.j,DIVISION,Atlantic,27,27.7,27.7.j,,,FAO 27.7.j,Southwest of Ireland - East (Division 27.7.j),Sudoeste de Irlanda - Este (División 27.7.j)
189,21.4.R,DIVISION,Atlantic,21,21.4,21.4.R,,,FAO 21.4.R,"Atlantic, Northwest / 21.4.R",Atl NW / 21.4.R
201,27.7.h,DIVISION,Atlantic,27,27.7,27.7.h,,,FAO 27.7.h,Celtic Sea South (Division 27.7.h),Mar Céltico sur (División 27.7.h)
243,87.1.14,SUBDIVISION,Pacific,87,87.1,87.1.1,87.1.14,,FAO 87.1.14,"Pacific, Southeast / 87.1.14","Pacific, Southeast / 87.1.14"
190,21.3.L,DIVISION,Atlantic,21,21.3,21.3.L,,,FAO 21.3.L,"Atlantic, Northwest / 21.3.L",Atl NW / 21.3.L
191,21.3.P,DIVISION,Atlantic,21,21.3,21.3.P,,,FAO 21.3.P,"Atlantic, Northwest / 21.3.P",Atl NW / 21.3.P
192,21.4.X,DIVISION,Atlantic,21,21.4,21.4.X,,,FAO 21.4.X,"Atlantic, Northwest / 21.4.X",Atl NW / 21.4.X
244,87.1.25,SUBDIVISION,Pacific,87,87.1,87.1.2,87.1.25,,FAO 87.1.25,"Pacific, Southeast / 87.1.25","Pacific, Southeast / 87.1.25"
193,21.5.Y,DIVISION,Atlantic,21,21.5,21.5.Y,,,FAO 21.5.Y,"Atlantic, Northwest / 21.5.Y",Atl NW / 21.5.Y
194,21.4.T,DIVISION,Atlantic,21,21.4,21.4.T,,,FAO 21.4.T,"Atlantic, Northwest / 21.4.T",Atl NW / 21.4.T
195,47.D.1,DIVISION,Atlantic,47,47.D,47.D.1,,,FAO 47.D.1,SEAFO division D.1,División SEAFO D.1
196,47.B.1,DIVISION,Atlantic,47,47.B,47.B.1,,,FAO 47.B.1,SEAFO division B.1,División SEAFO B.1
202,27.7.f,DIVISION,Atlantic,27,27.7,27.7.f,,,FAO 27.7.f,Bristol Channel (Division 27.7.f),Canal de Bristol (División 27.7.f)
203,27.7.g,DIVISION,Atlantic,27,27.7,27.7.g,,,FAO 27.7.g,Celtic Sea North (Division 27.7.g),Mar Céltico norte (División 27.7.g)
204,27.12.c,DIVISION,Atlantic,27,27.12,27.12.c,,,FAO 27.12.c,Central Northeast Atlantic - South (Division 27.12.c),Norte de las Azores (División 27.12.c)
211,27.6.b,DIVISION,Atlantic,27,27.6,27.6.b,,,FAO 27.6.b,Rockall (Division 27.6.b),Rockall (División 27.6.b)
251,87.2.13,SUBDIVISION,Pacific,87,87.2,87.2.1,87.2.13,,FAO 87.2.13,87.2.13,87.2.13
205,27.7.k,DIVISION,Atlantic,27,27.7,27.7.k,,,FAO 27.7.k,Southwest of Ireland - West (Division 27.7.k),Sudoeste de Irlanda - Oeste (División 27.7.k)
206,27.4.c,DIVISION,Atlantic,27,27.4,27.4.c,,,FAO 27.4.c,Southern North Sea (Division 27.4.c),Mar del Norte meridional (División 27.4.c)
207,27.7.c,DIVISION,Atlantic,27,27.7,27.7.c,,,FAO 27.7.c,Porcupine Bank (Division 27.7.c),Porcupine Bank (División 27.7.c)
208,27.3.d,DIVISION,Atlantic,27,27.3,27.3.d,,,FAO 27.3.d,Baltic Sea (Division 27.3.d),Mar Báltico (División 27.3.d)
222,27.6.a,DIVISION,Atlantic,27,27.6,27.6.a,,,FAO 27.6.a,Northwest Coast of Scotland and North Ireland or as the West of Scotland (Division 27.6.a),Costa nord-occidental de Escocia e Irlanda del Norte o el Oeste de Escocia (División 27.6.a)
252,87.2.24,SUBDIVISION,Pacific,87,87.2,87.2.2,87.2.24,,FAO 87.2.24,87.2.24,87.2.24
209,"27.3.b, c",DIVISION,Atlantic,27,27.3,"27.3.b, c",,,"FAO 27.3.b, c",,
210,27.4.b,DIVISION,Atlantic,27,27.4,27.4.b,,,FAO 27.4.b,Central North Sea (Division 27.4.b),Mar del Norte central (División 27.4.b)
226,27.1.b,DIVISION,Atlantic,27,27.1,27.1.b,,,FAO 27.1.b,Barents Sea Non-NEAFC Regulatory Area (Division 27.1.b),Mar de Barents - Non-CPANE (División  27.1.b)
212,27.5.b,DIVISION,Atlantic,27,27.5,27.5.b,,,FAO 27.5.b,Faroes Grounds (Division 27.5.b),Fondos de las Feroe (División 27.5.b)
213,27.12.a,DIVISION,Atlantic,27,27.12,27.12.a,,,FAO 27.12.a,Southern mid-Atlantic Ridge (Division 27.12.a),Norte de las Azores (División 27.12.a)
214,27.5.a,DIVISION,Atlantic,27,27.5,27.5.a,,,FAO 27.5.a,Iceland Grounds (Division 27.5.a),Fondos de Islandia (División 27.5.a)
215,27.14.b,DIVISION,Atlantic,27,27.14,27.14.b,,,FAO 27.14.b,Southeast Greenland (Division 27.14.b),Groenlandia sudoriental (División 27.14.b)
