gid,f_code,f_level,ocean,f_area,f_subarea,f_division,f_subdivis,f_subunit,sfp_identifier,name_en,name_es
293,27.6.b.2,SUBDIVISION,Atlantic,27,27.6,27.6.b,27.6.b.2,,FAO 27.6.b.2,Rockall Non-NEAFC area (Subdivision 27.6.b.2),Rockall Non-CPANE (Subdivisión 27.6.b.2)
294,27.5.b.1,SUBDIVISION,Atlantic,27,27.5,27.5.b,27.5.b.1,,FAO 27.5.b.1,Faroe Plateau (Subdivision 27.5.b.1),Planicie de las Feroe (Subdivisión 27.5.b.1)
295,27.12.a.1,SUBDIVISION,Atlantic,27,27.12,27.12.a,27.12.a.1,,FAO 27.12.a.1,Subdivision 27.12.a.1 - NEAFC Regulatory Area,Subdivisión 27.12.a.1 - CPANE
296,27.12.a.4,SUBDIVISION,Atlantic,27,27.12,27.12.a,27.12.a.4,,FAO 27.12.a.4,Subdivision 27.12.a.4 Non-NEAFC Regulatory Area,Subdivisión 27.12.a.4 - Non-CPANE
297,27.5.a.1,SUBDIVISION,Atlantic,27,27.5,27.5.a,27.5.a.1,,FAO 27.5.a.1,Northern Reykjanes Ridge (Subdivision 27.5.a.1),Fondos de Islandia (Subdivisión 27.5.a.1)
298,27.14.b.1,SUBDIVISION,Atlantic,27,27.14,27.14.b,27.14.b.1,,FAO 27.14.b.1,Southeast Greenland - Parts of NEAFC Regulatory Area (Subdivision 27.14.b.1),Groenlandia sudoriental - Partes de CPANE (Subdivisión 27.14.b.1)
299,27.5.a.2,SUBDIVISION,Atlantic,27,27.5,27.5.a,27.5.a.2,,FAO 27.5.a.2,Icelandic Shelf (Subdivision 27.5.a.2),Fondos de Islandia (Subdivisión 27.5.a.2)
300,27.14.b.2,SUBDIVISION,Atlantic,27,27.14,27.14.b,27.14.b.2,,FAO 27.14.b.2,Southeast Greenland Non-NEAFC Regulatory Area (Subdivision 27.14.b.2),Groenlandia sudoriental Non-CPANE (Subdivisión 27.14.b.2)
304,27.8.e.2,SUBDIVISION,Atlantic,27,27.8,27.8.e,27.8.e.2,,FAO 27.8.e.2,West of Bay of Biscay Non-NEAFC Regulatory Area (Subdivision 27.8.e.2),Oeste del Golfo de Vizcaya Non-CPANE (Subdivisión 27.8.e.2)
305,27.5.b.2,SUBDIVISION,Atlantic,27,27.5,27.5.b,27.5.b.2,,FAO 27.5.b.2,Faroe Bank (Subdivision 27.5.b.2),Banco de las Feroe (Subdivisión 27.5.b.2)
306,27.12.a.3,SUBDIVISION,Atlantic,27,27.12,27.12.a,27.12.a.3,,FAO 27.12.a.3,Subdivision 27.12.a.3 Non-NEAFC Regulatory Area,Subdivisión 27.12.a.3 - Non-CPANE
307,27.12.a.2,SUBDIVISION,Atlantic,27,27.12,27.12.a,27.12.a.2,,FAO 27.12.a.2,Subdivision 27.12.a.2 - NEAFC Regulatory Area,Subdivisión 27.12.a.2 - CPANE
308,27.2.a.2,SUBDIVISION,Atlantic,27,27.2,27.2.a,27.2.a.2,,FAO 27.2.a.2,Norwegian Sea Non-NEAFC Regulatory Area (Division 27.2.a.2),Mar de Noruega Non-CPANE (División 27.2.a.2)
309,27.3.c.22,SUBDIVISION,Atlantic,27,27.3,"27.3.b, c",27.3.c.22,,FAO 27.3.c.22,Belt Sea (Subdivision 27.3.c.22),Mar de Belt (Subdivisión 27.3.c.22)
310,27.3.d.27,SUBDIVISION,Atlantic,27,27.3,27.3.d,27.3.d.27,,FAO 27.3.d.27,West of Gotland (Subdivision 27.3.d.27),Oeste de Gotland (Subdivisión 27.3.d.27)
311,27.3.d.28,SUBDIVISION,Atlantic,27,27.3,27.3.d,27.3.d.28,,FAO 27.3.d.28,East of Gotland or Gulf of Riga (Subdivision 27.3.d.28),Este de Gotland o Golfo de Riga (Subdivisión 27.3.d.28)
317,27.3.a.21,SUBDIVISION,Atlantic,27,27.3,27.3.a,27.3.a.21,,FAO 27.3.a.21,Kattegat (Subdivision 27.3.a.21),Kattegat (Subdivisión 27.3.a.21)
312,27.3.d.29,SUBDIVISION,Atlantic,27,27.3,27.3.d,27.3.d.29,,FAO 27.3.d.29,Archipelago Sea (Subdivision 27.3.d.29),Mar Archipiélago (Subdivisión 27.3.d.29)
320,21.5.Z.c,SUBUNIT,Atlantic,21,21.5,21.5.Z,21.5.Z.e,21.5.Z.c,FAO 21.5.Z.c,"Atlantic, Northwest / 21.5.Z.c",Atl NW / 21.5.Z.c
313,27.3.d.32,SUBDIVISION,Atlantic,27,27.3,27.3.d,27.3.d.32,,FAO 27.3.d.32,Gulf of Finland (Subdivision 27.3.d.32),Golfo de Finlandia (Subdivisión 27.3.d.32)
321,27.5.b.1.a,SUBUNIT,Atlantic,27,27.5,27.5.b,27.5.b.1,27.5.b.1.a,FAO 27.5.b.1.a,Faroe Plateau - Part of NEAFC Regulatory Area (Unit 27.5.b.1.a),Planicie de las Feroe - Parte de CPANE (Unidad 27.5.b.1.a)
314,27.3.d.30,SUBDIVISION,Atlantic,27,27.3,27.3.d,27.3.d.30,,FAO 27.3.d.30,Bothnian Sea (Subdivision 27.3.d.30),Golfo de Botnia meridional (Subdivisión 27.3.d.30)
315,27.3.d.31,SUBDIVISION,Atlantic,27,27.3,27.3.d,27.3.d.31,,FAO 27.3.d.31,Bothnian Bay (Subdivision 27.3.d.31),Golfo de Botnia meridional (Subdivisión 27.3.d.31)
316,27.3.d.25,SUBDIVISION,Atlantic,27,27.3,27.3.d,27.3.d.25,,FAO 27.3.d.25,Southern Central Baltic - West (Subdivision 27.3.d.25),Báltico centro-meridional - Oeste (Subdivisión 27.3.d.25)
318,27.3.a.20,SUBDIVISION,Atlantic,27,27.3,27.3.a,27.3.a.20,,FAO 27.3.a.20,Skagerrak (Subdivision 27.3.a.20),Skagerrak (Subdivisión 27.3.a.20)
319,21.5.Z.u,SUBUNIT,Atlantic,21,21.5,21.5.Z,21.5.Z.e,21.5.Z.u,FAO 21.5.Z.u,"Atlantic, Northwest / 21.5.Z.u",Atl NW / 21.5.Z.u
322,27.5.b.1.b,SUBUNIT,Atlantic,27,27.5,27.5.b,27.5.b.1,27.5.b.1.b,FAO 27.5.b.1.b,Faroe Plateau - Part of Non-NEAFC Regulatory Area (Unit 27.5.b.1.b),Planicie de las Feroe Non-CPANE (Unidad 27.5.b.1.b)
323,27.3.d.28.2,SUBUNIT,Atlantic,27,27.3,27.3.d,27.3.d.28,27.3.d.28.2,FAO 27.3.d.28.2,East of Gotland (Open Sea) (Unit 27.3.d.28.2),Este de Gotland (Mar abierto) (Unidad 27.3.d.28.2)
324,27.3.d.28.1,SUBUNIT,Atlantic,27,27.3,27.3.d,27.3.d.28,27.3.d.28.1,FAO 27.3.d.28.1,Gulf of Riga (Unit 27.3.d.28.1),Golfo de Riga (Unidad 27.3.d.28.1)
