fao_name,common_names,fda_name,taxocode,code_3a,order,family,genus,specific_descriptor
Antarctic toothfishes nei,,,17092015XX,TOT,Percoidei,Nototheniidae,Dissostichus,spp
Antique ark,,,3160407102,NDQ,Bivalvia,Arcidae,Anadara,antiquata
Arabian pandora,,,1703900808,SXB,Percoidei,Sparidae,Pagellus,affinis
Arabian red shrimp,,,2280203103,AJA,Natantia,Aristaeidae,Aristeus,alcocki
Arapaima,,,1280100101,ARP,Osteoglossiformes,Osteoglossidae,Arapaima,gigas
Araucanian herring,"Chilean herring, sardine, sardina común (Spanish)",,1210507801,CKI,Clupeiformes,Clupeidae,Strangomera,bentincki
Arched razor shell,,,3161600501,EQK,Bivalvia,Solenidae,Ensis,magnus
Arched swimming crab,,,2311119604,LQA,Brachyura,Portunidae,Liocarcinus,arcuatus
Arctic char,,,1230101005,ACH,Salmoniformes,Salmonidae,Salvelinus,alpinus
Arctic surfclam,"Stimpson's surf clam, hokkigai",,3161110001,IFM,"",Mactridae,Mactromeris,polynyma
,Arctic wedgeclam,,"",FS-461,"",Mesodesmatidae,Mesodesma,arctatum
Argentine,,,1230501504,ARY,Salmoniformes,Argentinidae,Argentina,sphyraena
Argentine anchovy,,,1210600206,ANA,Clupeiformes,Engraulidae,engraulis,anchoita
Argentine angelshark,,,1090300404,SUG,Squaliformes,Squatinidae,Squatina,argentina
Argentine croaker,"Ombrine d'Argentine, Verrugato pargo",,1703707003,CKY,Perciformes,Sciaenidae,Umbrina,canosai
Argentine hake,,,1480500406,HKP,Gadiformes,Merlucciidae,merluccius,hubbsi
Argentine red shrimp,"Camarón langostín argentine, Camarón oceánico",,2282900601,LAA,Natantia,Solenoceridae,pleoticus,muelleri
Argentine seabass,,,1700225901,BSZ,Percoidei,Serranidae,Acanthistius,brasilianus
Argentine shortfin squid,,,3210501003,SQA,Cephalopoda,Ommastrephidae,illex,argentinus
Argentine stiletto shrimp,,,2280106701,ASH,Decapoda,Penaeidae,Artemesia,longinaris
Argentinian sandperch,,,1720900602,UPR,Trachinoidei,Pinguipedidae,Pseudopercis,semifasciata
,Arguinensis sea cucumber,,6940100325,JHG,Holothuroidea,Holothuriidae,Holothuria,arguinensis
Armed nylon shrimp,,,2280400503,HKF,Natantia,Pandalidae,Heterocarpus,ensifer
Arrow shrimp,,,2280403208,LKO,Natantia,Pandalidae,Plesionika,heterocarpus
Arrow-tooth flounder,,,1830200801,ARF,Pleuronectiformes,Pleuronectidae,atheresthes,stomias
Arrowhead dogfish,,,1090101403,SDU,Squaliformes,Squalidae,Deania,profundorum
Asian clam,Asian clam,,3162102504,CMA,Venerida,Cyrenidae,Corbicula,fluminea
Asian moon scallop,Asian scallop,,3160800502,UMP,Bivalvia,Pectinidae,amusium,pleuronectes
Asian swamp eel,,,1680200101,FLT,Synbranchiformes,Synbranchidae,Monopterus,albus
Asiatic hard clam,,,3161101702,HCA,Bivalvia,Veneridae,Meretrix,meretrix
Atka mackerel,Atka Mackerel,,1780701403,HUM,Scorpaeniformes,Hexagrammidae,Pleurogrammus,monopterygius
Atlantic Spanish mackerel,Spanish mackerel,,1750101507,SSM,Scombroidei,Scombridae,scomberomorus,maculatus
Atlantic bay scallop,Bay scallop,,3160803002,SCB,Bivalvia,Pectinidae,argopecten,irradians
Atlantic bluefin tuna,,,1750102601,BFT,Scombroidei,Scombridae,thunnus,thynnus
Atlantic bonito,"Atlantic bonito, Bonito (Spanish), Serra (Portuguese)",,1750100101,BON,Perciformes,Scombridae,Sarda,sarda
Atlantic bumper,,,1702326801,BUA,Percoidei,Carangidae,chloroscombrus,chrysurus
Atlantic chub mackerel,Chub mackerel,,1750100209,VMA,Scombroidei,Scombridae,Scomber,colias
Atlantic cod,,,1480400202,COD,Gadiformes,Gadidae,Gadus,morhua
,Atlantic cornetfish,,1510101901,AGQ,Syngnathiformes,Aulostomidae,Aulostomus,strigosus
Atlantic croaker,,,1703703804,CKA,Percoidei,Sciaenidae,Micropogonias,undulatus
Atlantic ditch shrimp,,,2281200705,PVR,"","",Palaemonetes,varians
Atlantic gobies nei,,,17321003XX,GOB,Gobioidei,Gobiidae,Gobius,spp
Atlantic goliath grouper,,,1700204243,EET,Percoidei,Serranidae,Epinephelus,itajara
Atlantic halibut,,,1830200201,HAL,Pleuronectiformes,Pleuronectidae,hippoglossus,hippoglossus
Atlantic herring,,,1210500105,HER,Clupeiformes,Clupeidae,Clupea,harengus
Atlantic horse mackerel,,,1702300401,HOM,Percoidei,Carangidae,Trachurus,trachurus
Atlantic jackknife,Atlantic razor clam,,3161600502,CLR,Bivalvia,Solenidae,Ensis,directus
Atlantic lizardfish,,,1311601003,SDR,Aulopiformes,Synodontidae,Synodus,saurus
Atlantic mackerel,,,1750100205,MAC,Scombroidei,Scombridae,Scomber,scombrus
Atlantic menhaden,,,1210502403,MHA,Clupeiformes,Clupeidae,Brevoortia,tyrannus
Atlantic mud shrimp,,,2282907209,SKM,Natantia,Solenoceridae,Solenocera,membranacea
Atlantic pomfret,,,1702700301,POA,Percoidei,Bramidae,Brama,brama
Atlantic redfishes nei,,,17801001XX,RED,Scorpaeniformes,Scorpaenidae,Sebastes,spp
Atlantic rock crab,,,2310901003,CRK,Brachyura,Cancridae,cancer,irroratus
Atlantic sailfish,,,1750300404,SAI,Scombroidei,Istiophoridae,Istiophorus,albicans
Atlantic salmon,,,1230100401,SAL,Salmoniformes,Salmonidae,Salmo,salar
Atlantic saury,,,1470200201,SAU,Beloniformes,Scomberesocidae,Scomberesox,saurus
Atlantic seabob,,,2280102201,BOB,Natantia,Penaeidae,Xiphopenaeus,kroyeri
Atlantic silverside,,,1630201302,SSA,Atheriniformes,Atherinidae,Menidia,menidia
Atlantic surf clam,Atlantic surfclam,,3161202001,CLB,Bivalvia,Mactridae,spisula,solidissima
Atlantic thornyhead,,,1780108002,TJX,Scorpaeniformes,Scorpaenidae,Trachyscorpia,cristulata
Atlantic white marlin,,,1750300904,WHM,Scombroidei,Istiophoridae,Tetrapturus,albidus
Atlantic wolffish,"Seawolf, Atlantic catfish",,1710200101,CAA,Zoarcoidei,Anarhichadidae,anarhichas,lupus
Australian blacktip shark,"Blacktip shark, Australian Blacktip",,1080201032,CCU,Carcharhiniformes,Carcharhinidae,carcharhinus,tilstoni
Australian mussel,,,3161000117,MYA,Bivalvia,Mytilidae,Mytilus,planulatus
